"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"337","PGEN_.00g162900",333.314692716616,-7.28620839038239,2.00891075039146,-3.62694479531387,0.000286794579745328,0.0145488855931449,19,193,147,13,10,377,45,743,237,332,13,60,189,61,487,22,1809,330,27,157,26,97,706,33,208,46,24,2313,29,25,11,14,14,136,39,FALSE,TRUE
"338","PGEN_.00g070040",1768.52546011622,4.96954458193007,1.56207202379981,3.18137992756661,0.00146575268446095,0.0389808213916433,743,1402,176,1828,8275,648,2753,364,215,1135,3429,279,1601,192,109,5086,637,223,1128,417,5895,1419,55,2479,320,202,2019,104,1492,2991,676,760,10319,224,3582,TRUE,FALSE
"339","PGEN_.00g093880",11.4928550642608,5.13072167379889,1.44320981701071,3.55507675552404,0.000377868763364724,0.0169968971703731,4,7,2,14,25,9,12,2,1,10,9,5,9,5,1,42,10,4,7,6,56,2,2,6,4,0,4,1,7,27,9,6,65,3,19,TRUE,FALSE
"340","PGEN_.00g199790",13.1320815598526,3.50628156628493,0.879794245818143,3.98534269001083,6.738280659511e-05,0.00615016352354888,5,12,2,6,25,27,14,7,14,13,26,10,10,11,7,21,9,12,19,5,24,12,8,17,22,8,7,2,9,13,7,16,44,3,13,TRUE,FALSE
"341","PGEN_.00g034430",8.60968396613966,5.27986559363866,1.53536069088105,3.43884380067648,0.000584204207735089,0.0213257609254547,2,19,0,6,25,3,28,3,1,6,11,16,3,0,6,12,2,0,14,6,31,6,2,10,8,1,2,2,3,8,0,6,49,2,17,TRUE,FALSE
"342","PGEN_.00g207910",63.2808958571706,1.88202834065616,0.608613874781851,3.09231915117075,0.00198599203605641,0.0470086787123809,50,61,22,56,207,59,77,55,39,54,111,112,74,32,45,103,28,43,68,43,95,56,71,87,50,43,49,23,51,75,53,46,116,50,99,TRUE,FALSE
"343","PGEN_.00g251840",20.8368736362405,2.07993859619679,0.670197661161467,3.10347038900765,0.00191265373670088,0.046231920512755,6,15,12,27,34,36,17,7,21,9,25,36,22,9,33,49,9,14,18,16,42,21,21,29,22,28,22,13,17,18,13,13,38,19,15,TRUE,FALSE
"344","PGEN_.00g341020",7.68402966470926,3.92712889205471,1.06983450814717,3.67078166029252,0.000241809839397926,0.0136660313055809,4,8,0,12,16,4,6,4,3,7,12,12,6,3,3,26,2,8,9,2,25,5,1,10,4,4,9,3,6,8,3,6,30,3,13,TRUE,FALSE
"345","PGEN_.00g060690",14.1818014716868,4.079149644564,1.01235878023219,4.02935177154134,5.59308699625883e-05,0.00554882865567974,6,7,15,8,36,20,5,7,9,9,15,14,5,6,8,36,9,5,30,12,23,17,0,19,15,5,9,2,11,19,7,10,56,5,55,TRUE,FALSE
"346","PGEN_.00g214040",47.6032218625065,5.5687026356594,1.24094802969738,4.48745838052332,7.20778868548907e-06,0.00144269580899552,14,24,5,53,82,66,22,11,13,15,51,56,56,5,36,65,3,22,43,5,170,43,1,65,58,37,55,3,34,45,16,58,316,13,105,TRUE,FALSE
"347","PGEN_.00g156260",31.3073880530345,4.07119818377607,1.236345052053,3.29293038138153,0.000991490218905903,0.0306794715946218,25,17,15,36,118,11,85,16,10,25,32,27,16,2,7,69,9,7,15,12,168,30,13,51,13,27,23,1,19,59,14,9,79,9,49,TRUE,FALSE
"348","PGEN_.00g040950",14.1227106686364,4.95365748922894,1.46616037940285,3.3786600421207,0.00072840021182298,0.0248811916667317,4,7,2,14,25,7,4,4,6,4,22,9,8,0,5,30,7,3,15,9,82,24,0,11,7,1,8,0,11,25,11,7,87,6,25,TRUE,FALSE
"349","PGEN_.00g057170",347.695612686616,5.27606174445875,1.16803351143077,4.51704655116951,6.27081236116148e-06,0.0013007945132453,106,194,28,443,757,849,339,121,120,173,325,601,237,102,267,757,210,102,327,83,1195,218,13,200,539,147,208,153,179,368,120,112,1892,78,399,TRUE,FALSE
"350","PGEN_.00g163390",48.8007328734843,-4.53175305507471,1.16499353624352,-3.88993836797343,0.000100269684713089,0.00767743826131967,35,18,48,12,53,24,15,55,366,47,38,2,143,17,13,27,40,85,25,46,43,65,70,23,18,11,40,80,15,29,16,16,28,34,25,FALSE,TRUE
"351","PGEN_.00g191400",38.1382029064171,3.97673905570653,1.0539482412573,3.77318249609917,0.000161178299807435,0.0104482001278581,18,42,6,64,91,45,32,31,19,34,61,63,38,21,28,70,9,17,30,9,130,48,9,32,23,14,36,3,21,35,25,9,168,13,67,TRUE,FALSE
"352","PGEN_.00g282910",205.206771356212,1.94713267062562,0.60188797971924,3.23504162939737,0.00121624996383916,0.0353083863548117,125,262,109,244,316,221,155,113,169,201,255,301,114,202,237,363,176,121,173,134,399,212,125,154,178,203,165,180,169,229,166,137,543,110,277,TRUE,FALSE
"353","PGEN_.00g095390",65.6876739117484,4.48130041484039,1.27642403294804,3.51082422389864,0.000446719678110211,0.0186008204655452,17,33,7,129,147,68,72,28,15,22,117,61,50,14,16,154,48,14,62,27,229,55,2,37,50,15,60,6,41,100,66,27,397,22,109,TRUE,FALSE
