"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"29","PGEN_.00g342060",6.99721512359716,3.53861039719249,0.975856040738984,3.62616026285272,0.000287666859824742,0.0360855365108574,6,15,11,9,21,9,4,13,10,8,21,15,2,2,1,7,4,4,16,8,6,1,7,4,4,6,1,1,3,21,1,4,9,2,1,7,TRUE,FALSE
"30","PGEN_.00g155650",259.052817510126,-7.42098729483524,1.73933053372245,-4.26657679547148,1.98495187312056e-05,0.00641104561107589,86,238,4444,53,160,47,59,162,40,42,26,43,1854,49,178,34,97,58,42,65,248,20,64,69,42,23,177,744,40,37,26,139,58,30,36,36,FALSE,TRUE
"31","PGEN_.00g341210",18.3889618090716,-6.60397351013703,1.77215957556484,-3.72651176631888,0.00019414801299741,0.029166688828195,10,47,130,2,14,5,4,96,2,3,3,8,26,4,8,0,26,31,0,6,25,4,1,1,3,4,27,116,1,2,18,4,8,5,15,3,FALSE,TRUE
"32","PGEN_.00g055380",35.7559134002396,-1.39393215986,0.366776043904542,-3.80049946834255,0.000144404727953132,0.0261080400312403,31,43,54,23,27,28,38,59,28,41,44,39,31,43,10,27,63,34,20,42,16,45,77,42,51,32,20,45,49,30,43,79,34,35,46,17,FALSE,TRUE
"33","PGEN_.00g050060",50.5281872255446,-1.82838387967949,0.522270698207654,-3.50083565084965,0.000463801773009172,0.0499430708656164,44,50,87,32,63,66,67,133,67,40,46,55,37,61,12,21,60,36,44,46,25,66,54,33,56,34,5,76,69,43,82,160,49,36,110,23,FALSE,TRUE
"34","PGEN_.00g311890",106.597663002042,-1.29185675078924,0.35755941601888,-3.61298484367429,0.000302692402960079,0.036436215818942,78,109,208,69,97,84,161,221,137,128,97,93,102,153,36,64,163,111,65,88,75,142,148,87,132,114,42,125,144,94,107,210,126,85,147,63,FALSE,TRUE
"35","PGEN_.00g330100",40.497670799069,-7.73267759888711,1.67203179645401,-4.62471922799932,3.75106163657351e-06,0.00221119657651495,12,12,22,5,6,27,10,548,30,26,12,5,21,6,6,0,4,32,7,32,9,32,29,16,9,0,15,115,13,13,14,7,5,7,430,20,FALSE,TRUE
"36","PGEN_.00g286180",23.8565774187031,-5.20996858632011,1.36994506016912,-3.8030492884707,0.000142925905431812,0.0261080400312403,14,3,15,13,10,3,10,33,15,19,16,13,18,16,3,1,185,18,23,8,4,25,6,30,5,1,0,153,28,21,14,276,4,2,17,6,FALSE,TRUE
"37","PGEN_.00g164540",43.2559272107346,3.72708948040961,1.01167374879512,3.68408242760919,0.000229527962590729,0.0318056363976014,14,47,75,34,298,155,22,49,36,37,61,71,16,30,17,49,16,13,86,63,46,5,24,10,14,39,16,16,32,37,7,28,91,34,8,5,TRUE,FALSE
"38","PGEN_.00g202020",11.480919633392,-7.02110980029765,1.89063499737693,-3.71362521588712,0.000204311302262218,0.0296757186939116,6,41,111,14,12,2,3,27,2,2,1,0,65,1,1,3,2,15,2,4,7,2,6,0,0,2,14,27,0,3,17,8,2,3,2,7,FALSE,TRUE
"39","PGEN_.00g347800",8.94413595019621,2.32280122437586,0.641759181911731,3.61942811235904,0.000295254818383565,0.0362689561185388,0,8,5,11,7,9,16,9,5,17,12,11,2,26,7,11,6,4,9,8,6,9,11,11,15,11,0,8,13,15,8,10,14,11,12,7,TRUE,FALSE
"40","PGEN_.00g266130",102.003173448545,-12.4612236516763,1.97148642038067,-6.32072507467243,2.60338838401122e-10,7.75614484306542e-07,45,117,281,15,2,16,36,377,6,6,9,8,697,17,6,4,16,114,7,10,5,7,13,23,14,0,45,1778,10,2,49,33,14,0,21,30,FALSE,TRUE
"41","PGEN_.00g164660",47.6449403779222,3.91733279432933,1.03624299049362,3.78032259833507,0.000156625286428276,0.0266643362623681,14,49,84,31,374,156,23,50,44,42,64,71,16,30,25,51,16,14,96,67,48,5,26,9,17,44,17,18,34,40,7,29,93,39,7,7,TRUE,FALSE
"42","PGEN_.00g329260",23.8479758208492,3.40386280135298,0.948985342467874,3.58684444219243,0.000334703855919441,0.0391045671665881,24,94,10,32,11,67,7,19,23,39,27,61,6,21,12,47,21,14,25,18,29,6,4,13,36,20,9,5,18,31,4,21,26,18,3,36,TRUE,FALSE
"43","PGEN_.00g339220",8.47633638203607,4.61056180766694,1.21754488882631,3.7867694653225,0.00015261857436037,0.0266643362623681,0,0,6,21,7,26,7,7,6,35,40,4,2,6,3,34,6,4,13,7,2,12,0,5,3,6,3,0,8,9,2,3,12,10,6,2,TRUE,FALSE
"44","PGEN_.00g215970",381.056960812312,-1.25791769663445,0.312229800623285,-4.02882010020615,5.60574940649848e-05,0.014788031581903,359,348,805,280,355,320,411,645,352,336,360,374,480,453,176,207,482,295,245,400,177,426,520,366,501,284,221,584,598,326,400,628,428,377,586,363,FALSE,TRUE
"45","PGEN_.00g046720",132.499423121111,3.521861599356,0.89003658639564,3.95698519947185,7.59016315993852e-05,0.016750365625368,134,191,147,99,373,122,43,144,129,156,216,256,37,65,106,305,74,85,196,95,208,24,40,53,49,150,84,47,160,206,42,96,327,84,16,111,TRUE,FALSE
"46","PGEN_.00g327660",521.005771514997,5.60173631837555,1.23029983846692,4.55314724364745,5.28492553796985e-06,0.00258981192906624,93,217,33,695,43,693,492,38,812,476,682,355,22,1990,515,773,564,54,509,96,168,111,412,304,871,343,155,98,685,1515,18,320,2893,823,62,1415,TRUE,FALSE
"47","PGEN_.00g211250",14.8106609394924,3.25945152608481,0.878392543772858,3.71070035736513,0.000206686636871248,0.0296757186939116,18,21,12,11,34,8,9,13,16,18,23,22,10,6,24,31,8,10,15,16,14,6,3,5,8,22,8,9,8,35,6,7,28,11,2,16,TRUE,FALSE
"48","PGEN_.00g082950",24.717859013055,-2.18180257957352,0.6231790171994,-3.50108479162001,0.000463368390470268,0.0499430708656164,26,25,17,18,22,23,41,53,41,13,11,33,10,23,9,16,53,20,7,25,5,35,40,22,44,18,4,29,43,18,33,97,29,29,42,12,FALSE,TRUE
"49","PGEN_.00g039480",12.8437393222043,4.0317551342822,0.849294927247856,4.74717910696479,2.06273280767606e-06,0.00144597569818092,14,16,22,18,20,13,8,8,24,23,23,31,2,15,13,21,2,3,24,13,4,4,7,9,6,13,4,0,15,35,5,4,27,13,4,10,TRUE,FALSE
