"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"44","crg:105338606","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105338606","60S ribosomal protein L5-like"
"45","crg:105338870","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105338870","60S ribosomal protein L7a"
"46","crg:105338985","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105338985","ATP synthase subunit gamma, mitochondrial"
"47","crg:105339104","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105339104","40S ribosomal protein S25"
"48","crg:105339837","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105339837","40S ribosomal protein S14"
"49","crg:105340032","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105340032","40S ribosomal protein S8"
"50","crg:105340053","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105340053","cytochrome c oxidase subunit 5A, mitochondrial"
"51","crg:105340582","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105340582","Rps20; 40S ribosomal protein S20"
"52","crg:105341248","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105341248","succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like"
"53","crg:105341326","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105341326","40S ribosomal protein S6-like"
"54","crg:105342025","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105342025","60S ribosomal protein L8-like isoform X1"
"55","crg:105342397","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105342397","ubiquitin-40S ribosomal protein S27a"
"56","crg:105342603","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105342603","60S ribosomal protein L24"
"57","crg:105343349","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105343349","ATP synthase subunit delta, mitochondrial"
"58","crg:105344150","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105344150","cytochrome c"
"59","crg:105344628","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105344628","40S ribosomal protein S16"
