"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"34","PGEN_.00g116110",3.68780537731617,7.96795968500125,1.79520353978066,4.43847146489851,9.05999928701229e-06,0.00270820945283018,10,5,1,7,2,1,0,3,2,0,5,5,9,1,3,1,5,14,4,6,0,3,4,0,0,3,2,3,2,5,6,2,8,8,0,0,6,1,3,4,22,0,7,6,4,0,4,3,0,5,3,6,5,4,5,5,4,2,2,3,1,4,TRUE,FALSE
"35","PGEN_.00g245510",256.682075905377,15.4488507084868,2.80924265912461,5.49929378948731,3.81315350752553e-08,5.74981180562543e-05,564,79,46,1212,114,16,12,63,356,573,412,40,41,31,2,14,156,15,93,308,36,271,5,43,10,214,16,127,902,464,11,32,17,828,3,54,968,122,28,59,198,15,783,488,1204,15,30,46,619,26,150,34,264,1140,13,104,5,26,2275,200,12,31,TRUE,FALSE
"36","PGEN_.00g282850",15.2941099661765,3.39063539422387,0.966632111545344,3.50767924397142,0.000452033717347357,0.0329814493447365,10,30,16,27,14,11,5,13,15,17,17,18,19,8,13,12,11,17,18,22,23,19,7,22,4,2,14,19,28,41,19,14,19,17,15,7,25,6,13,15,27,7,23,14,14,16,12,15,51,12,10,18,6,12,8,28,6,15,12,14,12,13,TRUE,FALSE
"37","PGEN_.00g130390",87.1837314716786,-15.517665577655,3.04021585564609,-5.10413283610657,3.32314793780921e-07,0.000322131719028634,18,49,11,22,8,79,591,19,8,176,10,14,0,16,104,88,7,4,5,7,36,8,110,28,640,69,10,20,4,140,8,4,7,17,8,22,9,68,0,850,15,62,0,2,6,158,2,4,21,24,9,24,3,7,452,99,10,33,21,12,165,22,FALSE,TRUE
"38","PGEN_.00g130020",103.843573073093,6.63492259625183,1.62159297610609,4.09160787818914,4.28392579805589e-05,0.00775162093405552,210,380,298,151,96,19,22,122,17,19,358,128,49,32,48,7,9,79,75,118,73,83,57,15,18,83,33,216,274,781,88,35,70,122,36,24,343,113,78,33,437,28,153,76,114,42,46,44,295,102,126,158,102,59,25,79,24,175,33,197,36,43,TRUE,FALSE
"39","PGEN_.00g161570",234.529269405533,-1.53100697340434,0.421381273214638,-3.63330567997143,0.000279813194888198,0.0239310187934033,238,440,472,224,212,185,337,226,176,370,294,290,273,257,201,121,296,378,191,259,160,177,191,236,82,155,354,195,186,271,346,218,248,229,365,216,154,406,251,254,266,382,318,234,200,269,125,177,227,272,254,151,148,144,282,272,295,414,224,173,353,163,FALSE,TRUE
"40","PGEN_.00g087530",22.2824514005703,8.95707643349839,2.06986117804981,4.32738027481515,1.50893317431943e-05,0.00379217261272018,23,61,40,50,5,2,9,16,4,3,66,37,34,3,2,1,0,4,26,14,5,6,14,7,8,10,4,12,72,141,15,1,1,23,5,7,35,10,21,23,43,10,27,15,22,38,25,6,18,5,8,266,32,19,3,17,11,23,14,16,5,14,TRUE,FALSE
"41","PGEN_.00g345340",27.4805685710647,5.54501792743342,1.61618775598789,3.43092435076892,0.00060152832488135,0.0390590473538985,34,73,28,28,57,0,3,15,44,42,56,29,60,12,5,2,8,11,33,44,5,41,24,12,7,41,17,34,0,59,21,32,23,48,18,39,34,44,10,22,90,15,40,27,48,14,36,23,6,44,18,29,34,62,30,38,6,18,13,44,5,19,TRUE,FALSE
"42","PGEN_.00g175550",21.062832830237,-2.96613934751979,0.868715618090053,-3.41439624861483,0.000639235342062374,0.0411127280233721,22,31,43,11,27,13,21,13,21,21,21,11,33,46,17,25,21,27,17,23,12,21,19,15,23,8,37,14,13,21,34,20,9,31,35,14,9,34,21,41,18,43,30,21,21,39,10,24,7,19,8,11,13,8,30,19,34,25,16,12,18,25,FALSE,TRUE
"43","PGEN_.00g332980",4.5932580006531,6.92226733259672,2.07418111299587,3.3373495155389,0.000845815105403778,0.0493089581818172,7,10,14,10,3,7,5,3,0,4,11,3,16,1,4,4,0,2,5,8,0,0,5,1,1,3,1,6,10,21,2,6,3,4,3,1,6,0,0,1,12,8,3,0,6,3,7,8,0,4,7,20,5,1,5,1,1,4,3,7,0,3,TRUE,FALSE
