"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g173120",0,0,0,0,0,0,0,0
"PGEN_.00g032120",141,117,67,110,143,155,112,149
"PGEN_.00g107160",0,0,0,0,0,0,0,0
"PGEN_.00g180960",0,0,0,0,0,0,0,0
"PGEN_.00g062910",315,513,205,454,324,405,370,578
"PGEN_.00g242070",17,15,16,22,5,47,36,35
"PGEN_.00g251200",8,6,8,8,18,16,8,8
"PGEN_.00g184270",13,5,3,9,7,4,8,8
"PGEN_.00g023590",45,12,15,23,13,18,20,12
"PGEN_.00g238240",4,0,2,2,4,3,2,7
"PGEN_.00g167840",0,0,0,0,0,0,0,0
"PGEN_.00g133230",16,7,9,7,9,11,12,2
"PGEN_.00g138220",58,17,25,33,22,30,35,28
"PGEN_.00g334570",2,0,0,0,0,0,0,0
"PGEN_.00g132540",129,88,106,171,125,167,125,177
"PGEN_.00g186520",10,7,3,8,6,6,7,0
"PGEN_.00g224510",35,10,11,10,8,13,31,17
"PGEN_.00g031540",0,0,0,0,0,0,0,0
"PGEN_.00g107290",0,0,0,0,0,0,0,0
"PGEN_.00g176510",11,17,8,11,9,9,4,5
"PGEN_.00g194780",0,0,0,0,0,0,0,0
"PGEN_.00g220460",0,0,0,0,0,0,0,0
"PGEN_.00g018810",1,3,2,5,4,4,4,6
"PGEN_.00g228610",14,4,2,3,0,2,7,5
"PGEN_.00g023040",21,30,27,30,18,46,37,27
"PGEN_.00g007170",5,5,11,13,40,20,10,3
"PGEN_.00g294230",56,10,9,12,14,20,27,15
"PGEN_.00g315360",3,2,3,1,3,3,3,6
"PGEN_.00g263840",0,0,2,2,0,0,0,0
"PGEN_.00g088300",0,0,0,2,0,0,0,0
"PGEN_.00g314010",0,0,0,0,0,0,0,0
"PGEN_.00g329360",0,0,0,0,0,0,0,0
"PGEN_.00g269650",0,0,0,0,0,0,0,0
"PGEN_.00g269440",3,3,2,3,2,5,3,2
"PGEN_.00g257530",4,5,8,4,6,5,9,8
"PGEN_.00g165650",8,0,5,4,4,22,4,1
"PGEN_.00g033650",0,0,2,0,0,0,0,0
"PGEN_.00g108110",5,2,2,0,5,3,5,2
"PGEN_.00g288950",0,0,0,0,0,0,0,0
"PGEN_.00g167770",108,72,73,99,94,102,103,80
"PGEN_.00g069920",0,0,0,0,0,48,0,0
"PGEN_.00g160200",0,6,2,4,5,12,6,9
"PGEN_.00g074420",2,0,0,0,0,0,0,0
"PGEN_.00g335070",0,0,0,0,0,0,0,0
"PGEN_.00g347630",17,22,19,29,15,31,23,11
"PGEN_.00g107830",0,0,0,0,0,0,0,0
"PGEN_.00g343520",0,0,0,0,0,0,0,0
"PGEN_.00g135530",2,0,0,0,0,5,0,0
"PGEN_.00g179770",0,2,0,8,2,4,8,7
"PGEN_.00g203410",0,0,0,0,0,0,0,0
"PGEN_.00g315940",0,0,0,0,0,0,0,0
"PGEN_.00g171560",21,7,9,17,16,12,24,4
"PGEN_.00g252960",0,0,0,0,0,0,0,0
"PGEN_.00g256260",37,39,47,76,60,83,81,79
"PGEN_.00g222910",57,30,18,38,42,53,66,21
"PGEN_.00g212010",3,0,0,0,0,0,0,0
"PGEN_.00g022310",16,47,20,28,35,56,86,59
"PGEN_.00g013900",29,27,31,26,25,45,26,34
