"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"75","crg:105342074","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105342074","sorting nexin-6"
"76","crg:105342447","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105342447","ADP-ribosylation factor 6"
"77","crg:105342463","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105342463","clathrin light chain A"
"78","crg:105342463","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105342463","clathrin light chain A"
"79","crg:105342925","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105342925","long-chain-fatty-acid--CoA ligase 4"
"80","crg:105342925","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105342925","long-chain-fatty-acid--CoA ligase 4"
"81","crg:105342925","crg01212","Fatty acid metabolism","105319102/105319409/105320624/105321895/105325272/105330728/105332999/105333323/105333437/105342925/105346656/105348652",12,"105342925","long-chain-fatty-acid--CoA ligase 4"
"82","crg:105346656","crg01212","Fatty acid metabolism","105319102/105319409/105320624/105321895/105325272/105330728/105332999/105333323/105333437/105342925/105346656/105348652",12,"105346656","peroxisomal acyl-coenzyme A oxidase 3"
"83","crg:105346656","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105346656","peroxisomal acyl-coenzyme A oxidase 3"
"84","crg:105346656","crg00410","beta-Alanine metabolism","105319409/105331957/105332278/105340590/105346656/105326193",6,"105346656","peroxisomal acyl-coenzyme A oxidase 3"
"85","crg:105346656","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105346656","peroxisomal acyl-coenzyme A oxidase 3"
"86","crg:105347059","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105347059","prosaposin"
"87","crg:105347356","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105347356","RUN and FYVE domain-containing protein 2"
"88","crg:105348652","crg01212","Fatty acid metabolism","105319102/105319409/105320624/105321895/105325272/105330728/105332999/105333323/105333437/105342925/105346656/105348652",12,"105348652","hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
"89","crg:105348652","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105348652","hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
