"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"150","PGEN_.00g122110",124.784410544465,-1.41445958831994,0.32423272861918,-4.36248245000974,1.2859490462855e-05,0.00336677534680623,162,218,191,147,214,146,137,127,166,301,249,156,41,118,59,154,78,68,225,115,117,49,78,87,88,150,70,82,95,137,63,74,148,100,17,127,FALSE,TRUE
"151","PGEN_.00g116130",28.8565479663645,-2.20656238490087,0.493003998672838,-4.47574946824147,7.61437312905234e-06,0.00273278448314406,52,59,66,27,59,44,35,25,15,96,100,36,4,18,4,48,43,30,54,20,14,11,10,9,24,30,14,8,17,20,6,23,20,24,4,15,FALSE,TRUE
"152","PGEN_.00g145530",103.431434201073,-1.75097915649665,0.517123407775353,-3.38599864204428,0.000709197345748271,0.041842643399148,133,63,192,48,266,96,96,141,326,157,182,168,57,82,40,162,36,106,198,96,88,8,69,28,35,80,54,31,59,205,34,22,210,103,20,89,FALSE,TRUE
"153","PGEN_.00g263590",17.3330942620252,-2.68912296433841,0.749250543867738,-3.58908376690229,0.000331842208296105,0.0269919807874249,89,56,16,18,83,22,4,3,17,27,30,19,6,6,10,11,10,11,20,8,20,0,2,4,4,17,7,4,5,34,2,4,15,6,4,19,FALSE,TRUE
"154","PGEN_.00g224680",29.0004786710546,-1.38485873073027,0.371042471341643,-3.73234558761641,0.000189704988476432,0.018958638197453,19,46,66,27,67,35,19,54,45,55,66,42,12,23,20,19,19,8,23,40,16,34,19,30,37,24,20,10,39,51,7,17,26,19,10,20,FALSE,TRUE
"155","PGEN_.00g048440",61.1852966057587,-1.82731226320987,0.493608967021719,-3.70194300609102,0.000213954686035283,0.0201405883101528,140,95,128,59,195,47,32,45,139,59,105,111,25,30,23,65,43,52,100,53,51,7,47,21,45,75,33,27,33,128,16,22,119,40,6,29,FALSE,TRUE
"156","PGEN_.00g078540",56.432558739815,-2.86643181749112,0.629044917025197,-4.55679990396664,5.19388600767913e-06,0.00253542293014217,68,97,35,43,453,65,34,41,203,41,65,141,19,21,11,61,47,47,129,47,35,15,19,11,25,16,19,12,26,59,12,19,85,30,11,19,FALSE,TRUE
"157","PGEN_.00g006380",185.148046837407,-0.850157730887604,0.216373695194847,-3.92911777063301,8.52580790441918e-05,0.0116233075841439,204,295,351,186,266,170,165,295,222,284,325,262,168,147,129,161,184,175,179,210,151,126,190,205,240,138,101,104,150,197,113,202,233,126,103,112,FALSE,TRUE
"158","PGEN_.00g237580",27.2190727196934,-1.62008933536955,0.490202081456425,-3.30494177127145,0.000949961339482096,0.047944434350488,37,73,30,13,41,54,15,21,52,28,25,73,5,13,31,41,12,20,63,26,26,15,15,13,18,23,14,10,19,44,7,18,36,20,3,11,FALSE,TRUE
"159","PGEN_.00g255920",26.5546532843364,0.787234891632927,0.211783594863966,3.71716653567331,0.000201469646665974,0.019180826133722,27,20,26,28,22,24,37,31,29,17,22,15,18,20,16,28,30,22,23,22,19,26,28,28,49,29,26,44,36,37,30,53,34,27,25,17,TRUE,FALSE
"160","PGEN_.00g344880",10.4793832953269,-2.196737342954,0.461496318575767,-4.76003221376369,1.93562062448856e-06,0.00172949891386331,11,5,6,14,34,22,7,10,35,20,15,23,4,11,9,14,7,5,15,9,4,12,7,8,10,9,0,8,10,19,2,6,11,5,3,4,FALSE,TRUE
"161","PGEN_.00g164550",43.1690346876184,-2.62312858058379,0.682430787330978,-3.8438016415452,0.000121142935110339,0.0144990787193488,12,26,90,20,462,105,14,45,76,35,27,46,19,28,29,32,12,18,54,62,35,18,15,13,13,17,18,15,23,63,7,45,66,25,2,11,FALSE,TRUE
"162","PGEN_.00g281950",63.689244568544,-1.08318467789812,0.323123990241654,-3.35222611322683,0.000801645165770638,0.0448497598989027,106,146,104,48,115,87,66,67,101,93,76,63,37,45,27,58,51,81,90,97,69,40,64,23,68,62,17,18,70,87,41,56,53,69,26,46,FALSE,TRUE
"163","PGEN_.00g158570",33.4133913446567,-1.71935833701412,0.513253335578206,-3.34992140884418,0.000808344920593735,0.0448497598989027,18,47,30,25,191,50,13,21,28,19,41,55,19,21,22,52,7,18,45,19,51,8,15,21,18,36,21,11,39,62,10,14,86,19,9,23,FALSE,TRUE
"164","PGEN_.00g227770",70.6196007658655,-2.08362211320588,0.525930237973559,-3.96178421159848,7.43917602068274e-05,0.011121553983446,119,159,68,44,342,110,40,61,170,71,102,124,17,49,44,84,35,41,148,94,60,15,20,30,27,32,36,16,59,107,22,23,86,52,6,41,FALSE,TRUE
"165","PGEN_.00g295510",29.2181301312693,1.55191396103034,0.433546778106223,3.57957673635418,0.000344151180564457,0.0276197146125479,11,31,48,4,24,13,31,68,40,13,17,18,43,29,8,26,95,29,12,30,8,100,52,12,38,21,6,32,65,11,58,48,2,18,57,17,TRUE,FALSE
"166","PGEN_.00g212830",45.2884060002466,2.17477755017069,0.553414371961916,3.92974534156181,8.50358730874569e-05,0.0116233075841439,17,52,69,14,35,17,44,41,61,26,7,37,38,47,27,9,62,27,20,21,62,28,32,14,74,16,126,18,49,34,89,26,50,13,144,56,TRUE,FALSE
"167","PGEN_.00g114360",21.161239026465,-1.959191363565,0.563324860421402,-3.47790680159118,0.000505345596204223,0.0347031590573687,28,63,7,38,5,40,10,9,12,31,59,28,3,21,10,28,34,21,49,11,9,5,14,20,21,33,8,12,12,51,1,13,39,13,3,21,FALSE,TRUE
"168","PGEN_.00g276360",18.3623083498189,-1.74485953882486,0.507127281535707,-3.44067377629733,0.000580267684834604,0.037442164525191,30,33,28,13,60,27,9,11,19,16,33,37,9,12,9,25,9,20,37,20,32,8,7,4,6,17,8,9,15,29,9,8,17,8,3,15,FALSE,TRUE
