"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"138","PGEN_.00g348850",13.9282136111494,5.2145404321877,1.53171614014726,3.40437780572474,0.000663149629674159,0.0409590375982516,12,16,19,26,8,8,12,9,5,2,17,16,57,12,15,1,3,9,8,8,7,4,8,7,1,6,6,12,25,51,16,3,8,9,28,6,25,6,9,9,39,14,15,16,14,30,34,12,17,18,5,73,11,11,4,7,10,17,8,23,6,13,TRUE,FALSE
"139","PGEN_.00g152150",16.9868988604993,7.45581079199288,1.71480532305155,4.34790508973054,1.37444054317444e-05,0.00311812982458247,30,36,31,32,18,11,0,20,5,3,52,20,37,2,4,0,0,13,6,23,6,11,7,5,6,8,7,43,44,100,17,4,4,33,11,7,58,21,16,5,69,2,25,10,24,37,22,8,6,8,10,37,21,10,6,10,6,35,11,19,6,12,TRUE,FALSE
"140","PGEN_.00g094980",17.7718814734615,3.95354418149734,1.15473679232351,3.42376220085808,0.000617606393298667,0.039171519471744,33,36,39,18,8,17,17,25,11,5,20,15,24,9,18,2,7,18,18,13,14,8,15,8,7,13,21,11,54,62,26,13,17,30,21,3,32,8,28,5,50,26,55,23,18,10,18,11,13,9,14,15,13,20,19,22,12,26,8,12,7,33,TRUE,FALSE
"141","PGEN_.00g291220",18.3328620154801,-11.7929416000773,2.72704772758217,-4.3244353521209,1.52923039318205e-05,0.00334080202747568,4,13,10,6,22,39,24,5,2,130,5,4,5,89,9,70,1,11,5,9,10,1,15,55,1,20,6,7,2,11,2,7,4,2,11,3,2,12,0,45,5,129,3,2,2,139,36,5,0,6,4,6,0,2,24,3,8,28,1,2,19,10,FALSE,TRUE
"142","PGEN_.00g162900",176.797258306436,-16.0430579506482,2.75708443411871,-5.81884898123416,5.92542388964821e-09,1.21227463450712e-05,7,63,107,5,44,617,558,23,21,311,33,12,146,119,395,101,21,68,4,9,26,23,570,206,389,105,33,39,26,156,31,36,8,31,8,92,1,56,21,1804,15,813,16,4,22,794,180,128,32,93,3,95,4,2,891,63,124,104,25,14,387,150,FALSE,TRUE
"143","PGEN_.00g015870",313.294925832543,-1.53853602996636,0.448441312575717,-3.43085257049457,0.000601687511278039,0.0383681490299839,204,549,593,188,301,353,314,286,220,380,424,357,285,346,208,229,472,373,169,285,329,302,298,277,140,213,661,273,268,363,446,296,382,323,611,260,223,379,271,444,365,499,476,307,320,335,228,244,283,378,295,375,213,230,270,384,337,654,251,249,314,246,FALSE,TRUE
"144","PGEN_.00g108910",8.66695766724092,7.25274117758967,1.70683853043629,4.24922513070745,2.14511248566968e-05,0.0044678105919464,20,11,27,13,5,6,7,13,4,5,16,9,18,2,5,2,0,1,10,4,4,6,2,4,0,8,1,4,14,54,11,7,1,16,11,4,32,5,4,5,32,10,11,4,5,10,13,10,0,4,17,29,8,3,10,3,4,8,6,11,3,5,TRUE,FALSE
"145","PGEN_.00g156260",18.3412942674399,5.80398962308239,1.56035315828185,3.71966409801312,0.000199487904741193,0.0201378501259173,39,77,14,35,4,3,3,29,6,10,22,31,12,4,32,1,6,13,16,33,14,13,13,0,0,8,8,35,76,93,16,8,23,25,16,4,38,8,12,2,43,18,26,14,28,22,9,22,26,9,15,20,25,14,19,45,18,37,2,14,9,20,TRUE,FALSE
"146","PGEN_.00g134900",4.45473219245789,6.64795126121516,1.72828216855117,3.84656590352268,0.000119784921737553,0.013991116056811,5,6,8,6,3,0,6,6,5,6,12,8,9,2,1,3,3,4,4,6,4,1,3,3,0,6,2,9,8,28,10,2,0,5,0,0,12,3,5,3,16,2,3,7,5,7,7,0,0,5,7,8,4,1,0,0,1,5,3,2,3,3,TRUE,FALSE
"147","PGEN_.00g311860",8.23756338629924,8.29091719419421,1.72535818524456,4.80533101190175,1.54495683375613e-06,0.0007009944526085,17,13,19,11,16,7,3,8,4,2,35,4,4,4,9,0,1,12,4,11,2,4,9,2,4,3,5,13,17,55,4,1,6,6,3,1,35,0,5,3,48,0,6,4,9,6,9,3,13,8,14,12,4,6,3,2,0,13,7,14,2,2,TRUE,FALSE
"148","PGEN_.00g057170",149.61418326644,7.63566862107064,1.95994547626416,3.8958576723394,9.78518412074884e-05,0.0120245642783827,156,283,355,171,61,62,53,52,30,36,224,99,1018,23,26,46,5,48,66,102,27,57,48,90,10,35,19,127,203,496,108,39,38,135,37,25,287,58,68,253,269,124,132,104,90,721,317,99,90,86,75,1591,84,54,47,60,49,122,41,139,16,342,TRUE,FALSE
"149","PGEN_.00g331450",7.58074056437137,7.96633419710407,1.71934853340989,4.63334457342682,3.59804917431551e-06,0.00121274817455429,5,10,4,16,2,8,6,2,2,8,16,2,9,4,2,2,9,0,9,9,2,8,2,11,8,16,11,9,25,8,4,3,21,16,5,7,2,14,5,6,18,0,9,7,17,4,12,11,0,2,6,0,4,8,5,17,0,3,26,8,0,6,TRUE,FALSE
"150","PGEN_.00g145150",7.80598002907928,9.18087231747395,2.32309244878251,3.95200471779996,7.74992123819258e-05,0.0102725641401076,14,17,9,10,1,1,5,3,3,2,10,2,83,2,1,3,0,5,4,9,0,4,4,3,0,3,0,2,7,14,1,0,4,5,1,6,8,5,1,17,13,9,8,4,4,12,5,8,8,1,5,87,9,10,2,1,5,7,3,4,2,24,TRUE,FALSE
"151","PGEN_.00g332570",132.466833085649,-8.2691558882646,2.07296655281304,-3.98904452994827,6.63399684651571e-05,0.00910014660445882,46,132,79,31,37,37,45,20,30,1800,54,44,58,69,28,20,35,111,38,37,50,34,43,57,22,133,95,31,54,132,46,39,51,38,90,37,33,56,31,2282,46,1055,53,38,37,58,50,127,28,92,22,67,25,34,42,62,258,143,28,26,203,43,FALSE,TRUE
"152","PGEN_.00g000580",135.158907064019,-6.41104031637953,1.91150214501042,-3.35392786930123,0.000796731288931605,0.0460737206643439,32,43,150,23,72,259,195,26,14,369,38,16,219,324,69,260,40,99,10,47,71,22,98,307,120,107,63,30,41,82,92,31,86,48,162,37,26,74,46,965,112,585,53,53,49,398,183,271,48,94,24,165,16,45,280,67,273,95,106,48,76,211,FALSE,TRUE
"153","PGEN_.00g340260",50.3387699705635,-11.580936813954,3.25893015253992,-3.55360080513788,0.000379995534671909,0.0291091384579513,7,7,23,3,13,44,37,4,4,391,8,4,193,16,7,179,0,8,4,5,5,8,20,294,11,17,11,0,2,16,7,2,4,6,13,4,2,10,8,563,0,77,6,6,4,301,134,54,5,5,3,27,0,0,64,7,38,14,6,6,21,171,FALSE,TRUE
