"","MEturquoise","MEblack","MEpink","MEred","MEblue","MEbrown","MEgreen","MEyellow"
"SG123",-0.0679622532915913,0.0921054997820459,0.0852121657927496,-0.0405133747602951,0.0162171160764721,0.0131122978397108,0.0854803015211504,-0.0785764850608792
"SG122",0.100787405215315,-0.0259177681179721,-0.0161102713299049,0.134098790960106,-0.0527332435691683,-0.033773038348965,-0.0497657388743957,-0.219623161429616
"SG33",0.0437795244455416,0.00564170682740845,0.0328840996859711,-0.0455342257403725,0.0547324290325512,0.0142748942488281,-0.101874744581948,-0.110060833805162
"SG120",0.0252999310429325,-0.0688945751295194,-0.0116246989524534,0.0185402197868822,-0.105938943837666,-0.0838536739120832,0.13742646300474,-0.0294082236397927
"SG111",0.087024050559362,-0.0171830090494091,0.0751831288103113,0.0426091010282126,-0.0698391342244603,-0.0832370982159995,0.0822431965282683,-0.0238618049241853
"SG142",0.0289804671551211,0.00886948639076603,0.115976704353852,0.193605276773487,0.0614263421380923,-0.00769824685720728,-0.147399598003084,-0.146220027535537
"SG96",0.0240606516519515,-0.103215791434278,0.144322556941381,0.177023761593209,0.0502099894356454,-0.129064127645428,-0.0645768345876345,-0.0735265595320274
"SG113",0.065810043760203,-0.0401748806469745,0.0760199320291974,0.105327849231308,-0.0156767685495908,-0.0385619327601521,0.00663614818125875,-0.075444339692827
"SG83",-0.0517170992881771,0.0965344574843805,0.100399065542862,-0.0787963351158121,0.0250665026752405,0.106121443428703,0.0722991096270962,-0.0574971946146323
"SG125",0.110994591363097,-0.0780063753773987,-0.0954507084977421,0.0339598425984456,-0.0788785442827591,-0.0327680228849944,-0.0324171006485416,-0.18290662182113
"SG35",0.0311075017779968,-0.0116122414612585,0.153316595927537,0.120602001584514,-0.010301085588412,-0.101081693650813,-0.0573064914781038,0.023562209087503
"SG84",-0.0414712413748729,0.1225201828876,0.0627957956097251,0.145646933695535,-0.0912507046871063,-0.0946128821252346,0.107483532719164,0.106558190217523
"SG49",-0.000817149413856928,0.0345928747780945,-0.0509502651483803,0.0248099989307482,-0.0429114628989044,-0.0361349832511636,-0.0467711814087541,0.197839497661444
"SG116",-0.00841705468135286,-0.114541635285237,-0.0764351633000369,-0.00153061672660195,-0.0372353503133803,0.0203234368880258,-0.00109634786125027,-0.0297039254030934
"SG136",0.0539452807439939,-0.00367605787678905,-0.0186442015774755,0.0867420638984403,-0.0646168433872169,-0.0676824172054426,0.0341667814367819,-0.11458475091375
"SG70",0.0631094276251796,0.0203193098500585,0.155433405352399,0.0923880405743898,0.0771320070449808,-0.035088638826495,-0.139694216924619,-0.101315425909831
"SG31",0.0532313296192187,0.0151326507496451,-0.0874403209820497,-0.00384789876779461,-0.0994004378067748,-0.00952068794545649,-0.0169896340286712,0.0106909120495547
"SG121",0.0105834633192371,-0.0626456576443484,-0.00228606654175454,0.0659172254995266,0.00669691567232616,0.0317909209209482,-0.0651452877818959,-0.135291770266265
"SG74",0.0714127657575944,0.014537262392573,0.0906649688445984,0.0944523559568348,-0.0600126437174261,-0.0385408235361361,-0.0363602742040956,-0.112179433449897
"SG134",0.0481082272829621,-0.0456251244438073,0.00873537199618198,-0.00703984092767323,-0.103978860076566,-0.107993022883717,0.0909222331357835,0.119505522832795
"SG56",0.0215641485533839,-0.0784437059386521,-0.0904409198509161,0.0376718296396896,-0.0536060532726114,-0.0587578224959334,0.00713450755081543,-0.0377674476674034
"SG76",0.0917261824439099,0.0149104947451425,0.0659889421910783,0.0926442651232442,-0.0564982320040692,-0.0927549754067301,-0.0486756295489696,-0.0464784008073065
"SG48",-0.10045710764688,0.236268776002608,0.141418010928706,0.0685951392725376,0.043576762442189,-0.00261645307708528,-0.0683880313491285,0.147954399138075
"SG53",-0.225092037625615,-0.0811630061577415,-0.0804747883126756,-0.0708384885271348,0.276947481822376,0.296307329458174,-0.0680927330796892,-0.0824309390435537
"SG106",0.0416573629752657,-0.0226733898994797,-0.0823505085289773,0.0253449246005126,-0.0950733391665863,-0.0951776603615067,0.00380164852160059,0.0452542310789282
"SG104",0.115661841339716,0.00240387308210838,-0.0123427552464173,-0.0302341713368146,-0.0853233727920285,-0.0692930299712281,0.00662130589343679,-0.0428128608100172
"SG32",0.0740027155710745,0.109574017042244,0.14879951540362,0.129317298842161,-0.0140131585676919,-0.0744725059441934,-0.121418053241114,-0.0278014882309279
"SG124",-0.348372534511148,-0.155257320259269,-0.127230069497715,0.0389959133119105,0.21022644254028,0.350380020171321,-0.0569397553671971,0.00469375291335339
"SG110",-0.273232550810932,-0.227320223850962,-0.0885656736075716,-0.039670209572762,0.194068958106659,0.207855300147281,0.14687662214202,-0.0641589805753286
"SG72",0.0132144452441458,0.140198088201269,0.117010026127978,0.0443534646471532,0.0375406480745641,-0.00211351201293087,-0.0861931627665044,-0.0729821202337646
"SG94",0.108549540932795,-0.000497899300721469,-0.0225800791522349,0.0562714904582544,-0.107984957687731,-0.0856250565256956,-0.013670699683804,-0.028184210526311
"SG135",0.0214475530026226,0.0471971284550941,0.0385809489562211,0.105733646417775,-0.0613578270627169,-0.15531882258108,-0.00550418231332229,0.0511594135726126
"SG71",-0.0110034111699902,0.213152816301819,0.248617249268768,0.121247279997727,0.0532250140614823,-0.0786281953900795,-0.115174061655,-0.0258302865663577
"SG114",-0.138856387471568,0.00205013793799431,-0.0576149874698038,-0.0840409720009865,0.0169546321246067,0.165985235130429,0.285120993096499,-0.0822107137807952
"SG69",0.0304511053149521,-0.100064616221993,0.154561538929177,0.235109207590864,0.0317348404117867,-0.0725834781196595,-0.0616364535014008,-0.0846275094201308
"SG141",-0.275551811282607,-0.159395667872063,-0.031672009932919,-0.137828846101478,0.238200909772024,0.216051904835351,0.113204339478065,-0.106999386898206
"SG36",0.0606060194381283,-0.0934188757404626,0.0234234764991471,0.0130693793308382,-0.0132333111614315,-0.0293982354420382,-0.0592315679505549,-0.0565844356315391
"SG67",0.0784804325173904,0.25132144519504,0.0848754531272781,0.0621513037831921,0.000160852689615236,0.00156948680459522,-0.101684554764856,-0.0959210336951196
"SG28",0.0928953837523834,0.0797878448356938,0.112678894044097,0.0742457959028518,-0.00832775214239385,-0.0839552207386065,-0.11157082845969,-0.0080766645269113
"SG50",0.0702965113797086,0.105368831608895,0.0759429044165262,0.0219492953159931,-0.0160702665690118,0.0181340895027464,-0.0705720811339594,-0.144272631040964
